magnitude, cname, brightness, sname, rh, rm, rs, dd, dm , ds
2.2, Andromeda, alp, Alpheratz, 0, 0, 34, 29, 5, 26
2.4, Andromeda, bet, Mirach, 1, 9, 43, 35, 37, 15
2.1, Andromeda, gam, Almach, 2, 3, 54, 42, 19, 47
3.27, Andromeda, del, Delta Andromedae, 0, 39, 19, 30, 51, 38
2.2, Cassiopeia, alp, Schedar, 0, 40, 30, 56, 32, 14
2.4, Cassiopeia, bet, Caph, 0, 9, 10, 59, 9, 0
2.47, Cassiopeia, gam, Gamma Cassiopeiae, 0, 56, 42, 60, 43, 0
2.68, Cassiopeia, del, Ruchbah, 1, 25, 49, 60, 14, 7
3.38, Cassiopeia, eps, Segin, 1, 54, 23, 63, 40, 12
2.2, Aries, alp, Hamal, 2, 7, 10, 23, 27, 44
2.64, Aries, bet, Sheratan, 1, 54, 38, 20, 48, 29
4.35, Aries, gam, Botein, 3, 11, 37, 19, 43, 36
3.63, Aries, 41, Bharani, 2, 49, 59, 27, 15, 38
2.0, Ursa Major, alp, Dubhe, 11, 3, 43, 61, 45, 2
2.4, Ursa Major, bet, Merak, 11, 1, 50, 56, 22, 57
2.4, Ursa Major, gam, Phecda, 11, 53, 49, 53, 41, 40
3.3, Ursa Major, del, Megrez, 12, 15, 25, 57, 1, 56
1.7, Ursa Major, eps, Alioth, 12, 54, 1, 55, 57, 34
2.2, Ursa Major, zet, Mizar, 13, 23, 55, 54, 55, 31
1.9, Ursa Major, eta, Alkaid, 13, 47, 32, 49, 18, 47
2.3, Ursa Minor, alp, Polaris, 2, 31, 48, 89, 15, 51
2.2, Ursa Minor, bet, Kochab, 14, 50, 42, 74, 9, 20
3.0, Ursa Minor, gam, Pherkad, 15, 20, 43, 71, 50, 2
4.36, Ursa Minor, del, Yildun, 17, 32, 12, 86, 35, 11
4.23, Ursa Minor, eps, Epsilon Ursa Minoris, 16, 45, 58, 82, 2, 13
4.32, Ursa Minor, zet, Seta Ursa Minoris, 15, 44, 3, 77, 47, 39
4.95, Ursa Minor, eta, Eta Ursa Minoris, 16, 17, 30, 75, 45, 19
3.65, Draco, alp, Thuban, 14, 4, 23, 64, 22, 32
2.79, Draco, bet, Rastaban, 17, 30, 25, 52, 18, 5
